,Exp_num,Unnamed: 0,gravity_max_x,gravity_max_y,gravity_max_z,rotationRate_max_x,rotationRate_max_y,rotationRate_max_z,userAcceleration_max_x,userAcceleration_max_y,userAcceleration_max_z,Activity,Sub_Num,gravity_sum_x,gravity_sum_y,gravity_sum_z,rotationRate_sum_x,rotationRate_sum_y,rotationRate_sum_z,userAcceleration_sum_x,userAcceleration_sum_y,gravity_min_x,gravity_min_y,gravity_min_z,rotationRate_min_x,rotationRate_min_y,rotationRate_min_z,userAcceleration_min_x,userAcceleration_min_y,userAcceleration_min_z,gravity_sumSS_x,gravity_sumSS_y,gravity_sumSS_z,rotationRate_sumSS_x,rotationRate_sumSS_y,rotationRate_sumSS_z,userAcceleration_sumSS_x,userAcceleration_sumSS_y,userAcceleration_sumSS_z,gravity_std_x,gravity_std_y,gravity_std_z,rotationRate_std_x,rotationRate_std_y,rotationRate_std_z,userAcceleration_std_x,userAcceleration_std_y,Sub_Num,Unnamed: 0,gravity_skew_x,gravity_skew_y,gravity_skew_z,rotationRate_skew_x,rotationRate_skew_y,rotationRate_skew_z,userAcceleration_skew_x
0,0,16423,0.999974,0.999999,0.969201,9.687545,13.542882,10.450259,6.649587,7.02695,8.125357,6,9,0.054418466,0.795036931,-0.142582559,0.00990317,0.010244629,0.017561869,-0.003612774,0.061582985,-0.998956,-0.995344,-0.99964,-12.325145,-14.677776,-9.794188,-5.431018,-3.376496,-7.256814,0.043162556,0.869964733,0.054722309,0.400523171,0.253066345,0.107491524,0.013217411,0.029464752,0.017888795,0.336553739,0.297289864,0.378105077,1.48201166,1.444420837,0.981985927,0.398003363,0.614619412,0.028689204,1.272301149,0.215440822,-2.222072858,-0.016715101,0.084276879,0.069412311,0.085118566,0.441220663
1,1,799,-0.310256,0.949915,-0.021893,0.112245,0.267704,0.06241,0.026157,0.031868,0.053766,4,10,-0.320878085,0.946314695,-0.037816215,-0.000109245,0.00342223,-0.000313483,0.001633,0.004176278,-0.336017,0.941572,-0.04951,-0.112878,-0.190144,-0.096247,-0.018872,-0.021436,-0.102411,0.102011569,0.896379114,0.001496413,0.000277923,0.000538979,0.000300278,2.52E-05,2.59E-05,5.83E-05,0.006246281,0.001971328,0.007237773,0.028158317,0.043372723,0.026400864,0.008118413,0.007400003,0,0,-0.693935847,-0.595939925,0.438484364,0.226093814,0.304916166,-0.453747555,0.146054702
2,2,1199,-0.297107,0.954148,-0.015526,0.210569,0.525274,0.155237,0.122811,0.088793,0.113421,4,10,-0.31412459,0.94857687,-0.03788248,-0.002918027,0.00305626,0.000222897,0.00859079,0.005861178,-0.336362,0.941021,-0.052035,-0.416646,-0.394266,-0.21107,-0.06874,-0.086181,-0.245976,0.098486131,0.899984256,0.001407976,0.000752899,0.001938377,0.000607704,0.000165599,6.32E-05,0.000115222,0.006344727,0.002177397,0.00657848,0.055739682,0.10027617,0.050167761,0.023401978,0.015992081,0,0,-0.379166513,-0.477811391,0.191827217,-1.818760287,0.77925968,-0.771074143,0.792654124
3,3,1599,-0.297874,0.954042,-0.006422,0.167255,0.238096,0.187153,0.125792,0.059948,0.017794,4,10,-0.32151398,0.94591628,-0.034440997,-0.002260045,-0.0036855,-0.000838533,0.01557486,0.008351847,-0.376732,0.92367,-0.070047,-0.158113,-0.376922,-0.204008,-0.046868,-0.028301,-0.046961,0.099323304,0.899907415,0.001176147,0.000468062,0.001814791,0.000559868,0.000292838,7.47E-05,0.000133878,0.019943865,0.007710268,0.015056041,0.040889226,0.09677952,0.054430579,0.019767558,0.010970531,0,0,-1.637820756,-1.766203537,-0.447574803,0.381533381,-0.98961686,-0.640655657,0.785125273
4,4,1999,-0.297225,0.953512,-0.008758,0.088709,0.117886,0.07362,0.047534,0.026747,0.041932,4,10,-0.308778727,0.950188257,-0.039174085,0.003033212,0.004969695,0.0017876,0.011267485,0.00711188,-0.320085,0.945773,-0.066155,-0.060906,-0.197117,-0.110736,-0.028325,-0.010596,-0.031296,0.095665253,0.9031005,0.001229099,0.000158546,0.000916445,0.000288711,0.000143282,5.48E-05,4.62E-05,0.005176996,0.001615934,0.015265576,0.02485747,0.050954925,0.026405175,0.011463722,0.006002909,0,0,0.177656997,-0.560331884,-0.036860647,0.956343156,-1.028603265,-0.425244543,-0.070837111
5,5,2399,-0.29189,0.955891,-0.026811,0.136166,0.085604,0.211165,0.079004,0.033732,0.035733,4,10,-0.299129473,0.953468355,-0.037071347,0.003370117,-0.018021785,-0.000727417,0.007544883,0.005397155,-0.315162,0.94831,-0.04956,-0.043698,-0.319225,-0.12371,-0.035238,-0.016331,-0.044219,0.08958468,0.908800909,0.001398199,0.000141671,0.000513615,7.84E-05,7.63E-05,3.06E-05,0.000100551,0.004063271,0.001325118,0.005174626,0.022973264,0.05426589,0.024359609,0.009921123,0.004674393,0,0,-0.383993964,-0.229521564,-0.118927631,1.504285827,-2.253733593,2.924132419,1.640813743
6,6,2799,-0.291844,0.95572,-0.031608,0.060482,0.170062,0.061605,0.023329,0.018617,0.014579,4,10,-0.301472765,0.952546927,-0.0411978,-0.001915962,0.005813322,0.001501693,0.003196635,0.004087367,-0.316113,0.948052,-0.053754,-0.057426,-0.136561,-0.041467,-0.029385,-0.009278,-0.034176,0.089895631,0.908326223,0.001664314,0.000121191,0.000522172,9.09E-05,1.77E-05,2.02E-05,0.000121214,0.006312849,0.002058771,0.005145582,0.020644935,0.045694385,0.016603001,0.006731527,0.004001471,0,0,-0.599116641,-0.474064763,-0.64040805,-0.381586073,0.890502353,0.339555383,-0.327185557
7,7,3199,-0.282944,0.957704,-0.011283,0.074603,0.098124,0.086213,0.04096,0.025622,0.028424,4,10,-0.300041042,0.95319054,-0.032955628,0.001953565,-0.003855277,-0.001216213,0.008194732,0.005854645,-0.326071,0.945223,-0.053705,-0.066637,-0.083463,-0.081629,-0.024181,-0.014724,-0.025905,0.087002287,0.911877936,0.00113418,0.000213146,0.000660313,0.000235963,7.97E-05,4.33E-05,5.07E-05,0.013163177,0.003856647,0.011381665,0.024566497,0.037301704,0.026444258,0.008739767,0.005530156,0,0,-0.53344404,-0.63864697,0.087827458,0.33513885,0.439130986,0.296493606,0.095589424
8,100,399,0.37344,0.958655,-0.000336,0.809892,0.504152,0.342288,0.093317,0.209096,0.065604,4,3,0.331151032,0.939962985,-0.06047624,0.013327908,0.009965265,-0.008593935,0.001001665,0.006092733,0.274469,0.925527,-0.229352,-0.680591,-0.67246,-0.29698,-0.127493,-0.13088,-0.142031,0.108744296,0.882292005,0.001547216,0.003082867,0.011206029,0.000379939,0.000133544,7.90E-05,8.69E-05,0.02771132,0.008774458,0.04803208,0.161472561,0.189419259,0.081269852,0.02762902,0.032891905,0,0,-0.174930387,0.480665829,-1.499863938,0.662374224,-0.305234837,0.274195632,-0.597989637
9,101,799,0.352698,0.961547,-0.002267,0.670294,0.319943,0.190766,0.058981,0.090256,0.041516,4,3,0.320073913,0.941474593,-0.094470882,-0.012541995,-0.004123325,0.004578023,0.003193442,0.005938765,0.27204,0.907771,-0.243723,-0.550775,-0.265327,-0.231818,-0.032491,-0.075911,-0.050909,0.103374172,0.8888313,0.008294566,0.000934049,0.003243835,0.000214637,5.13E-05,6.18E-05,4.25E-05,0.013386144,0.009210353,0.044621688,0.141365851,0.120745883,0.057079271,0.013244382,0.016439365,0,0,-1.548789557,-1.720075757,-1.126252077,0.49284137,0.714078223,-0.021423385,0.73868688
10,102,1199,0.365904,0.93926,0.029853,0.10419,0.176558,0.135426,0.030628,0.03887,0.029173,4,3,0.350831735,0.936270913,-0.00190018,0.00295584,0.000895447,-0.000349875,0.002074542,0.005536883,0.342748,0.9306,-0.02068,-0.139989,-0.193655,-0.094481,-0.037073,-0.021749,-0.013684,0.123336174,0.876499462,0.000278423,0.000207725,0.00082131,4.49E-05,1.30E-05,3.34E-05,2.92E-05,0.004923943,0.001853545,0.016495427,0.03332304,0.060484369,0.019390651,0.007412167,0.005620094,0,0,0.532964124,-0.596764869,0.579721692,-0.948594597,-0.09066166,1.236140086,-0.583535527
11,103,1599,0.357657,0.964351,0.004487,0.531247,0.445571,0.119389,0.04906,0.087665,0.031081,4,3,0.320843325,0.94489157,-0.03018228,-0.000229635,-0.00346515,-0.011094185,-0.000320227,0.005385032,0.250532,0.933486,-0.16448,-0.321317,-0.240257,-0.280544,-0.060102,-0.059136,-0.1073,0.124142067,0.875751586,0.000362426,0.00104895,0.001741729,0.00024316,3.11E-05,4.47E-05,0.000253018,0.039873937,0.011711735,0.040049889,0.100617005,0.100630449,0.052480172,0.01372363,0.013737281,0,0,-0.471203348,0.496919571,-1.791638059,1.682740689,1.418224831,-1.640913272,-0.048396916
12,104,1999,0.318785,0.960206,-0.036168,0.123888,0.192214,0.050783,0.030855,0.021662,-0.004767,4,3,0.303499548,0.951487608,-0.048762288,0.005790683,0.015332185,0.002411928,0.00856256,0.00221543,0.276878,0.945812,-0.061781,-0.06333,-0.12198,-0.044821,-0.010658,-0.019281,-0.056599,0.091606447,0.906134552,0.002505303,0.000221325,0.000856237,9.97E-05,9.92E-05,1.11E-05,0.001115494,0.010523589,0.003491636,0.00730454,0.03041,0.061544945,0.016076669,0.008079403,0.005299233,0,0,-0.201828922,0.092047389,0.233308949,0.967564824,0.794267747,-0.150736802,-0.225472338
13,105,2399,0.344039,0.965615,0.039164,0.457104,0.199977,0.258136,0.098509,0.104634,0.057358,4,3,0.309245795,0.94814503,-0.061088923,-0.018342085,-0.018481523,0.006969018,0.016583238,-0.001788548,0.258563,0.923807,-0.190119,-0.704363,-0.535241,-0.322713,-0.096446,-0.113106,-0.08622,0.095776942,0.90041121,0.003860075,0.000170528,0.000943626,4.36E-05,0.000285914,1.32E-05,0.000911557,0.01146932,0.006276472,0.038576495,0.143331412,0.099235831,0.065212541,0.01828917,0.018430401,0,0,-0.872961284,-1.741901874,-0.522387704,-1.180849207,-1.986835869,-0.384430928,-0.801594722
14,106,2799,0.349181,0.946664,0.042347,0.164907,0.57859,0.099197,0.120385,0.041129,0.021318,4,3,0.336384605,0.941539043,0.01056806,0.003688408,0.004089253,-0.000996177,0.013503565,0.001227565,0.322177,0.936283,-0.007566,-0.261233,-0.559923,-0.075057,-0.085649,-0.057063,-0.091984,0.114365713,0.88516203,5.07E-05,0.001124531,0.003820305,0.000172686,0.000262246,2.57E-05,0.0011204,0.007245088,0.002665281,0.012868161,0.057797173,0.126537669,0.026173816,0.019801262,0.011924066,0,0,-0.599841577,0.523476054,0.645655934,-0.570670366,0.05887199,0.149268297,-0.010331681
15,107,3199,0.344677,0.944195,0.026568,0.083536,0.17453,0.062711,0.050297,0.020535,-0.008738,4,3,0.335626183,0.94187505,0.010487425,0.000266645,-0.00650779,3.68E-05,0.008775395,0.003764577,0.328852,0.938669,-0.010009,-0.11016,-0.218351,-0.082216,-0.040569,-0.015114,-0.05115,0.112546159,0.887156772,0.00017987,0.000380348,0.001276209,6.25E-05,6.79E-05,2.03E-05,0.000956944,0.00310307,0.0010952,0.009913379,0.033342872,0.074285285,0.018104127,0.010001532,0.004806838,0,0,0.317172089,-0.320337564,-0.453134742,-0.631540441,-0.571063788,-0.241514356,0.37600462
16,108,3599,0.337218,0.972905,0.039064,0.772015,0.47291,0.24295,0.067084,0.163982,0.030281,4,3,0.278167425,0.959419938,-0.008177162,0.004174627,0.028399902,-0.010999097,0.008978032,0.002418557,0.229293,0.941399,-0.155544,-0.702213,-0.340188,-0.268713,-0.066352,-0.104366,-0.13826,0.078959885,0.91857369,0.000278406,0.003889082,0.010144654,0.001023808,0.000241757,7.61E-05,0.001621594,0.019572849,0.005470511,0.040735982,0.153654701,0.164733231,0.072800461,0.019812034,0.02520717,0,0,-0.480790252,0.519389157,-1.696480357,0.67258996,0.248363115,-0.553111068,-0.146079565
17,109,3999,0.312798,0.967074,0.008324,0.160336,0.105293,0.154084,0.025805,0.025145,-0.027534,4,3,0.301610797,0.950800687,-0.069021835,0.007528128,-0.007026912,0.008677635,-0.006369268,0.005335387,0.254331,0.947141,-0.080903,-0.041884,-0.185804,-0.055556,-0.030911,-0.011775,-0.067508,0.091919931,0.903165123,0.00505457,0.000126754,0.000478265,7.79E-05,5.02E-05,3.01E-05,0.001854035,0.008130948,0.00287764,0.01295891,0.033414499,0.049087277,0.033301918,0.006792369,0.004036149,0,0,-3.369328251,3.597397816,4.107673359,2.532033128,-1.336756128,2.416993164,0.429836153
18,200,399,0.049077,0.99988,0.074363,0.476393,1.136865,0.348584,0.157567,0.063159,0.087571,4,22,-0.05842612,0.979475357,-0.142823763,-0.02054344,0.07524547,0.01641639,0.00344561,0.009885512,-0.141658,0.961085,-0.248038,-0.357759,-0.466965,-0.311113,-0.165147,-0.054932,-0.136603,0.007737002,0.946042195,0.044005762,0.000972564,0.007614133,0.001758438,0.000203291,0.000125418,0.000265381,0.059388737,0.0142479,0.114494758,0.139864897,0.315532138,0.107467507,0.039641983,0.014434071,0,0,0.715859405,0.288635083,0.820340596,0.483503605,1.889792831,-0.130575485,0.438784519
19,201,799,0.049368,0.998854,0.074598,0.27097,0.277312,0.056956,0.060839,0.043532,0.055207,4,22,-0.070830305,0.98989217,-0.062285897,0.03041046,0.035657095,-0.0188438,-0.00332851,0.01033177,-0.120918,0.98041,-0.180604,-0.029928,-0.109073,-0.176202,-0.046819,-0.022561,-0.031575,0.011805909,0.980844621,0.006079613,0.00021436,0.001665783,0.000246072,6.35E-05,0.000117907,0.00026126,0.062951675,0.005636569,0.085076684,0.055172368,0.078178572,0.046588722,0.016267449,0.006686536,0,0,1.049783305,0.169364865,0.617266173,2.219426026,0.687816074,-1.530348859,0.549865407
20,202,1199,-0.013525,0.994245,-0.093639,0.181101,0.448146,0.266646,0.055996,0.033906,0.068511,4,22,-0.051838593,0.989133665,-0.131723288,-0.007951978,0.00448804,0.000667595,-0.01136177,0.010236565,-0.123049,0.973671,-0.215985,-0.297973,-0.537968,-0.145998,-0.096303,-0.031581,-0.056172,0.003226583,0.98255079,0.01536175,0.00067583,0.002170909,0.000193879,0.000148852,0.000121838,0.00018058,0.026799209,0.0052003,0.028826255,0.076053231,0.152854248,0.048886796,0.018511257,0.008559777,0,0,-0.625856554,-1.414668487,-1.023563754,-0.544130443,-0.215930299,2.347929939,-0.55143513
21,203,1599,0.010829,0.99984,0.073915,0.225803,0.413036,0.14807,0.118935,0.038294,0.089116,4,22,-0.030932565,0.996634455,-0.042973035,-0.021283477,0.003118275,0.005557137,-0.015828835,0.008187345,-0.069127,0.992256,-0.106082,-0.434805,-0.526418,-0.145571,-0.069426,-0.031897,-0.051648,0.001226445,0.994522521,0.004681367,0.001268037,0.010267232,0.000854627,0.000423025,7.44E-05,0.000289393,0.021544805,0.002118412,0.058731464,0.10984196,0.169609664,0.047471539,0.020481282,0.00872039,0,0,0.202717832,-0.328318939,0.76262242,-1.021873622,-0.449675504,-0.18199311,1.477811972
22,204,1999,0.001853,0.999939,0.054631,0.247219,0.315341,0.217206,0.040379,0.0685,0.087504,4,22,-0.07448431,0.98951135,-0.098484115,0.029661325,-0.00244872,-0.005619735,-0.01045912,0.01034524,-0.111895,0.978213,-0.181694,-0.354868,-0.395827,-0.129738,-0.120808,-0.051111,-0.021099,0.00676753,0.97867393,0.014527088,0.003576698,0.00824965,0.001136737,0.000276093,0.000102577,0.001140278,0.027934862,0.006787402,0.069258184,0.111510498,0.148552834,0.053135066,0.024342881,0.011584436,0,0,1.019994845,0.025650274,0.747022423,-0.964599744,-0.147396364,1.049905144,-1.063142521
23,205,2399,0.033718,0.999992,0.011858,0.510718,0.584468,0.173379,0.051603,0.090233,0.257018,4,22,-0.003844403,0.97686216,-0.191789685,0.01435291,0.030365057,0.006790422,-0.01956619,0.016142973,-0.077473,0.964734,-0.263067,-0.355331,-0.311965,-0.270914,-0.154841,-0.14368,-0.082798,7.34E-05,0.947592248,0.051667791,0.000547397,0.00309397,0.000128837,0.000598733,0.000344065,0.001582846,0.018923693,0.012628387,0.09183579,0.12990909,0.163201786,0.068463684,0.021615314,0.01874724,0,0,-0.790917944,0.876068087,1.280330721,0.808401635,0.641309176,-0.533401585,-0.252185
